Company Name,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Exchange,Ticker,Year Founded,Revenue,Gross Profit,Net Income,Enterprise Value,EBITDA,Market Cap,HQ City,HQ State/Province,HQ Country
Christian Dior (PAR: CDI),"Christian Dior is a holding company with full ownership of Christian Dior Couture and a controlling interest in LVMH. Christian Dior Couture sells apparel, leather goods, jewelry, and accessories under various Dior brands. Most sales are through its own retail stores. Through LVMH, the company operates the following business groups: wines and spirits, fashion and leather goods, watches and jewelry, perfumes and cosmetics, and selective retailing. LVMH has dozens of well-known brands throughout its businesses, including Dom Perignon, Hennessy, Louis Vuitton, Fendi, TAG Heuer, and Sephora. The company's revenue is distributed throughout Europe, Asia, and the United States.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Footwear",PAR,CDI,1946,"53,282.44","35,345.90","3,036.74","100,965.37","13,671.28","83,552.08",Paris,,France
TJX (NYS: TJX),"TJX is a leading off-price retailer of apparel, home fashions, and other merchandise. It sells a variety of branded goods, opportunistically buying inventory from a network of over 20,000 vendors worldwide. TJX targets undercutting conventional retailers' regular prices by 20%-60%, capitalizing on a flexible merchandising network, relatively low-frills stores, and a treasure-hunt shopping experience to drive margins and inventory turnover. TJX derived 70% of fiscal 2018 revenue from the United States, with 23% from Europe (mostly the United Kingdom and Germany), 6% from Canada, and the remainder from Australia. The company operates over 4,000 stores under the T.J. Maxx, T.K. Maxx, Marshalls, HomeGoods, Winners, Homesense, and Sierra Trading Post banners.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Other Apparel, Specialty Retail*",NYS,TJX,1957,"38,972.93","11,141.76","3,059.80","60,845.41","4,999.97","64,542.82",Framingham,Massachusetts,United States
Nike (NYS: NKE),"Nike is the world's largest designer and wholesaler of athletic footwear and apparel. The firm sells through more than 20,000 accounts and 110,000 retail doors, including a network of more than 1,182 company-owned stores (about 30% of revenue including online sales), and independent distributors and licensees in 170 countries. Nike brand sales in North America account for 41% of revenue, followed by Europe, Middle East, and Africa (26%), Asia-Pacific and Latin America (14%), and China (14%). The Converse brand accounts for 5% of sales.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,Footwear*,NYS,NKE,1964,"38,722.00","17,219.00","4,177.00","134,361.66","4,822.00","129,350.42",Beaverton,Oregon,United States
Adidas (ETR: ADS),"Headquartered in Herzogenaurach, Germany, Adidas is the world's second- largest provider of athletic footwear and apparel. The firm generated more than EUR 21 billion in revenue during 2017, including EUR 5.8 billion in Europe, EUR 4.3 billion in North America, and EUR 3.8 billion in Greater China. Adidas offers a range of products across two divisions: Adidas (90% of sales) and Reebok (10%). The company divested itself of the TaylorMade and CCM Hockey brands late in 2017, which had accounted for 6% of total sales.",Consumer Products and Services (B2C),Consumer Durables,Recreational Goods,"Accessories, Footwear, Recreational Goods*",ETR,ADS,1924,"25,861.15","13,409.09","2,008.47","38,875.76","3,382.07","47,550.12",Herzogenaurach,,Germany
H & M Hennes & Mauritz (STO: HM B),"Hennes & Mauritz is a global multibrand fashion conglomerate that was founded in 1947. Its flagship H&M brand accounts for the vast majority of revenue (93%), but the newer brands (COS, &Other Stories, Monki, Weekday, Cheap Monday, and newly launched Arket) are growing more quickly. H&M commands around 1.7% market share in a fragmented global apparel market. Just under 70% of revenue is generated in Europe and Africa, 14% in Asia and Oceania, and 17% in North and South America. The company operates 4,739 stores globally (64% of those in Europe), of which 4,288 are H&M-brand stores.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Clothing, Footwear, Other Commercial Services*, Other Retail",STO,HM B,1947,"24,217.81","12,823.08","1,552.41","25,599.72","2,728.74","27,425.14",Stockholm,,Sweden
Zara,"Retailer of men and women fast fashion clothing. The company offers a diverse variety of clothing range and also provides delivery of purchased items at specific destinations, enabling consumers to access fast fashion at a reasonable price.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*",,,1974,"20,450.04",,,,,,A Coruña,,Spain
Fast Retailing Company (TKS: 9983),"Fast Retailing is Japan's largest apparel company, operating the casualwear retail chain Uniqlo, known for its high-quality functional apparel at reasonable prices. The business is founded on a private-label apparel model whereby Fast Retailing is in charge of product design, production, and sales. Fast Retailing is ranked the third-largest apparel company by sales globally, thanks to expansion of Uniqlo, which contributes more than 80% of group sales and 90% of profits. As at the end of May 2018, it runs 3,437 stores globally, including 833 and 1209 Uniqlo stores in Japan and overseas, respectively. Other brands in its portfolio include fast-fashion label GU and acquired brands including Theory, Comptoir des Cotonniers, Princesse Tam Tam (French lingerie), and J Brand (premium denim).",Financial Services,Other Financial Services,Holding Companies,"Holding Companies*, Other Apparel, Specialty Retail",TKS,9983,1949,"19,525.05","9,571.83","1,355.21","44,137.47","2,640.54","49,456.06",Yamaguchi City,Yamaguchi,Japan
UNIQLO Company,"Owner and operator of an online fashion store intended to sell fashionable clothing and accessories. The company's online store offers a variety fashion apparel including t shirts, outerwear and blazers, sweatshirts, sweatpants, blouses, skirts, jumpsuits, activewear, shorts, jeans, lounge wear, shoes and accessories which can be customized as per user's choice of color and texture and are made up of fine linen, Indonesian silk and Italian fabrics, enabling customers to browse and buy fashion apparel, footwear and accessories online.",Consumer Products and Services (B2C),Retail,Internet Retail,"Accessories, Clothing, Footwear, Internet Retail*",,,1984,"18,561.58","1,086.53",,,,,Yamaguchi-shi,,Japan
Kering (PAR: KER),"Kering is the world's third-largest luxury goods conglomerate after LVMH and Richemont. Its flagship brand is Gucci, which accounts for 60% of revenue and over 80% of operating profits. Its other leading brands include Bottega Veneta and YSL. Other smaller luxury brands (in ready-to-wear, leather goods, watches, and jewellery) generate around 15% of sales. Alexander McQueen, Balenciaga, Boucheron, and Ulysse Nardin are part of Kering's portfolio.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Clothing, Other Commercial Services*",PAR,KER,1963,"16,125.84","12,034.55","4,383.83","62,604.73","4,719.79","70,356.79",Paris,,France
Nordstrom (NYS: JWN),"Nordstrom is a fashion retailer that operates approximately 140 department stores in the U.S. and Canada and approximately 240 outlet stores under the names Nordstrom Rack and Last Chance. The company also operates e-commerce sites and a personalized styling service called Trunk Club. Nordstrom's largest merchandise categories are women's apparel (32% of sales) and shoes (24% of sales). Nordstrom, which traces its history to a shoe store opened in Seattle in 1901, continues to be partially owned and managed by members of the Nordstrom family.",Consumer Products and Services (B2C),Retail,Department Stores,"Accessories, Clothing, Department Stores*",NYS,JWN,1901,"15,860.00","5,705.00",564.00,"9,324.50","1,506.00","6,654.27",Seattle,Washington,United States
Taobao.com,"Provider of an online shopping platform intended to offer a range of products. The company's platform offers apparel, accessories, footwear, luggage and textiles for men, enabling customers to buy products of their own choice.",Consumer Products and Services (B2C),Retail,Internet Retail,"Accessories, Clothing, Internet Retail*",,,2007,"15,000.00",,,,,,Shanghai,,China
Ross Stores (NAS: ROST),"Ross Stores is a leading American off-price apparel and home fashion retailer, operating more than 1,600 stores at the end of fiscal 2017 across the Ross Dress for Less and dd's Discounts banners. Ross offers a variety of name-brand products and targets undercutting conventional retailers' regular prices by 20%-70%. The company uses an opportunistic, flexible merchandising approach; together with a relatively low-frills shopping environment centered on a treasure-hunt experience, Ross maximizes inventory turnover and traffic, enabling its low-price approach. In fiscal 2017, 27% of sales came from the ladies' department, 26% from home accents (including bed and bath), 13% from each of accessories, men's, and shoes, and 8% from children's. All sales come from the United States.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Specialty Retail*",NAS,ROST,1982,"14,983.54","4,257.26","1,587.46","33,186.77","2,371.07","33,178.82",Dublin,California,United States
Neckermann,"Retailer of catalog products. The company is a mail-order retailer in Germany, offering multiple products through its catalog, including clothing, electronics, furniture and housewares.",Consumer Products and Services (B2C),Retail,Catalog Retail,"Catalog Retail*, Clothing, Electronics (B2C), Home Furnishings",,,1949,"14,899.67",,,,692.34,,Hamburg,,Germany
Compagnie Financière Richemont (SWX: CFR),"Richemont is a luxury goods conglomerate with 19 brands. Jewellery and watch brands make up over 80% of sales, but the group is also active in accessories, writing instruments, and clothing. Richemont's flagship brand is Cartier, accounting for around 70% of profits by our estimate. Its other brands include Van Cleef & Arpels, Vacheron Constantin, Piaget, Jaeger-LeCoultre, IWC Schaffhausen, Lange & Soehne, Officine Panerai, and Montblanc. The firm generates over half of sales from own retail and employs over 28,000 people, two thirds of whom are Europe-based.",Financial Services,Other Financial Services,Holding Companies,"Accessories, Clothing, Holding Companies*, Luxury Goods",SWX,CFR,1988,"14,492.20","9,206.63","2,974.10","39,737.21","4,306.50","40,365.57",Geneva,,Switzerland
VF Corporation (NYS: VFC),"VF designs, produces, and distributes branded apparel and accessories. Its largest apparel categories include action sports, outdoor, jeanswear, and workwear. Its portfolio of more than 30 brands includes Vans, The North Face, Timberland, Lee, and Wrangler. VF markets its products in the Americas, Europe, and Asia-Pacific through wholesale sales to retailers, e-commerce, and branded stores owned by the company and partners. The company has grown through multiple acquisitions and traces its roots to 1899.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,NYS,VFC,1899,"13,681.14","6,942.75","1,383.78","31,371.33","2,028.15","33,120.09",Greensboro,North Carolina,United States
L Brands (NYS: LB),"L Brands is a women's intimate, personal care, and beauty retailer operating under the Victoria's Secret, Pink, Bath & Body Works, La Senza, and Henri Bendel brands. The company generates the majority of its business in North America, with only about 4% of sales coming from international markets in fiscal 2017. Distribution channels include about 3,100 stores and online.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Personal Products, Specialty Retail*",NYS,LB,1963,"13,237.00","4,899.00",644.00,"13,183.48","1,832.00","7,337.58",Columbus,Ohio,United States
Sears Holdings (PINX: SHLDQ),"Sears Holdings Corporation is an America-based retailer that integrates the digital and physical shopping experiences for consumers. The company operates through retail store brands Sears and Kmart. Sears provides a broad range of home merchandise, apparel, automotive products and home services through both online and offline channels across the United States, and it owns proprietary brands, including Kenmore, Craftsman, and DieHard. Kmart is a mass merchandising firm, offering quality products to customers through exclusive brands. The majority of the company's revenue comes from the domestic market.",Consumer Products and Services (B2C),Retail,Department Stores,"Clothing, Department Stores*, Specialty Retail",PINX,SHLDQ,1896,"13,191.00","2,658.00","-1,700.00","5,212.80","-1,525.00",98.20,Hoffman Estates,Illinois,United States
Decathlon France,Retailer of sports clothing and related accessories. The company's wide range of sports clothing and related accessories is sold through its retail outlets located all across France and internationally as well as through its website.,Business Products and Services (B2B),Commercial Services,Logistics,"Clothing, Internet Retail, Logistics*, Recreational Goods",,,1976,"13,000.00",,,,,,Villeneuve-d'Ascq,,France
Guccio Gucci,"Retailer of luxury fashion brands. The company manufactures and distributes leather goods, shoes, ready-to-wear, silks, timepieces and fine jewelry.",Consumer Products and Services (B2C),Retail,Other Retail,"Luxury Goods, Other Retail*",,,1921,"9,794.55",,,,,,Florence,,Italy
PVH (NYS: PVH),"PVH designs and markets branded apparel in more than 40 countries. Its key fashion categories include men's dress shirts, ties, sportswear, underwear, and jeans. PVH's leading designer brands, Calvin Klein and Tommy Hilfiger, generate more than 80% of its revenue. PVH also owns several smaller brands, including IZOD, Van Heusen, and ARROW, and licenses brands from third parties. PVH distributes its clothing wholesale to retailers and through company-owned stores. The company traces its history to 1881 and is based in New York City.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Footwear",NYS,PVH,1881,"9,671.70","5,321.80",696.20,"11,815.26",816.00,"8,119.57",New York,New York,United States
